clavecct,nombrecct,domicilio,numext,entrecalle,ycalle,callepost,codpost,colonia,ncolonia,localidad,municipio,entidad,ambito,longitud,latitud,turno,nturno,tipo,ntipo,nivel,nnivel,subnivel,nsubnivel,servicio,nservicio,control,ncontrol,subcontrol,nsubcontrol,sostenimiento,nsostenimiento
10DPR0061R,"NIÑOS HÉROES DE CHAPULTEPEC","AVENIDA HIDALGO S/N",SN,"CALZADA DURANGO","QUINTANA ROO","",35000,0052,"FRACCIONAMIENTO SANTA TERESA",0001,007,10,URBANO,-103.464942,25.587533,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0062Q,"BENEMERITO DE LAS AMÉRICAS",CONOCIDO,"","","","",34940,"","",0407,023,10,RURAL,-105.458126,23.456755,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0063P,"SOR JUANA INÉS DE LA CRUZ","CALLE MICHOACÁN NÚM. 118","",GUERRERO,"","",35128,0016,"COLONIA EL VALLE DE CHAPALA",0001,007,10,URBANO,-103.527661,25.583345,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0064O,"JOSÉ REVUELTAS","CALLE MEZQUITES S/N",SN,"","","",35010,0032,"FRACCIONAMIENTO LOS ALAMOS",0001,007,10,URBANO,-103.502283,25.615714,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0065N,"FANNY ANITUA","CALLE MELQUIADES CAMPOS S/N",SN,"","","",35164,0112,"COLONIA CARMEN CARREON",0001,012,10,URBANO,-103.533362,25.566986,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0066M,"AGUSTÍN MELGAR",CONOCIDO,"","","","",34570,"","",0805,034,10,RURAL,-106.514515,24.77415,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0067L,"PROFR. GREGORIO TORRES QUINTERO","OLIVOS S/N",SN,ALAMOS,"JUAN ESCUTIA","",35017,0105,"COLONIA EL MEZQUITAL 1",0001,007,10,URBANO,-103.501315,25.617221,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0068K,"JOSÉ SANTOS VALDEZ","BOULEVARD SAN ALBERTO S/N",SN,"IGLESIA DE NEAPOLIS","IGLESIA DE JOPE","",35043,0037,"FRACCIONAMIENTO SAN ALBERTO",0001,007,10,URBANO,-103.487604,25.607681,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0069J,"FERNANDO MONTES DE OCA","CALLEJON DEL PIRUL S/N",SN,"","","",35043,0035,"FRACCIONAMIENTO MIRAVALLE",0001,007,10,URBANO,-103.492654,25.607346,2,VESPERTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
10DPR0070Z,"GENERAL LAZARO CARDENAS DEL RÍO",CONOCIDO,"","","","",34570,"","",1121,034,10,RURAL,-106.250892,24.573878,1,MATUTINO,1,"EDUCACION BASICA",12,PRIMARIA,004,"PRIMARIA GENERAL",21,"PRIMARIA GENERAL",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
